Region,Constituency,SNP Cons,SNP List,Conservative Cons,Conservative List,Labour Cons,Labour List,Scottish Greens Cons,Scottish Greens List,Liberal Democrats Cons,Liberal Democrats List
Central Scotland,Airdrie and Shotts,16139,,4422,,10671,,0,,562,
Central Scotland,Coatbridge and Chryston,20577,,3028,,11140,,0,,622,
Central Scotland,Cumbernauld and Kilsyth,19633,,3375,,9792,,0,,678,
Central Scotland,East Kilbride,21149,,5923,,12477,,0,,1217,
Central Scotland,Falkirk East,18417,,7618,,10832,,0,,1007,
Central Scotland,Falkirk West,21492,,7343,,9653,,0,,1115,
Central Scotland,"Hamilton, Larkhall and Stonehouse",16761,,6332,,12179,,0,,1012,
Central Scotland,Motherwell and Wishaw,18156,,4472,,10343,,0,,557,
Central Scotland,Uddingston and Bellshill,17953,,4569,,12647,,0,,821,
Central Scotland,Total,,148399,,59896,,77623,,19512,,6337
Glasgow,Glasgow Anniesland,17501,,3688,,10913,,0,,1063,
Glasgow,Glasgow Cathcart,21728,,4041,,11332,,0,,1051,
Glasgow,Glasgow Kelvin,14535,,2850,,8605,,9077,,977,
Glasgow,Glasgow Maryhill and Springburn,16428,,2241,,8504,,0,,688,
Glasgow,Glasgow Pollok,18163,,1849,,11058,,1651,,522,
Glasgow,Glasgow Provan,15913,,2687,,8683,,2366,,421,
Glasgow,Glasgow Shettleston,17465,,4421,,9440,,0,,774,
Glasgow,Glasgow Southside,19735,,1790,,10279,,0,,504,
Glasgow,Rutherglen,20249,,3663,,15083,,0,,1112,
Glasgow,Total,,133917,,37027,,74088,,36114,,6079
Highlands and Islands,Argyll and Bute,16608,,7645,,2436,,0,,6874,
Highlands and Islands,"Caithness, Sutherland and Ross",15889,,5170,,2016,,0,,13298,
Highlands and Islands,Inverness and Nairn,21793,,12679,,5370,,2636,,2892,
Highlands and Islands,Moray,19987,,16823,,2972,,0,,1165,
Highlands and Islands,Na h-Eileanan an Iar,7454,,2116,,4013,,0,,353,
Highlands and Islands,Orkney,3369,,699,,290,,0,,7238,
Highlands and Islands,Shetland,4997,,503,,424,,0,,5803,
Highlands and Islands,"Skye, Lochaber and Badenoch",24192,,8331,,3855,,0,,6778,
Highlands and Islands,Total,,96433,,60779,,22713,,17729,,26771
Lothian,Almond Valley,22675,,6952,,10545,,0,,1601,
Lothian,Edinburgh Central,16276,,11544,,6839,,3921,,2555,
Lothian,Edinburgh Eastern,22658,,5970,,12541,,0,,2035,
Lothian,Edinburgh Northern and Leith,22443,,5052,,10874,,6116,,2035,
Lothian,Edinburgh Pentlands,16227,,12330,,6998,,0,,2213,
Lothian,Edinburgh Southern,16738,,5258,,20760,,0,,2189,
Lothian,Edinburgh Western,15693,,2798,,2515,,0,,25578,
Lothian,Linlithgow,22693,,9472,,12588,,0,,2126,
Lothian,Midlothian North and Musselburgh,21165,,6521,,13259,,0,,1630,
Lothian,Total,,141478,,78595,,76689,,49984,,28433
Mid Scotland and Fife,Clackmannanshire and Dunblane,16504,,8953,,8292,,0,,1194,
Mid Scotland and Fife,Cowdenbeath,16499,,4758,,10486,,1344,,1088,
Mid Scotland and Fife,Dunfermline,20048,,6314,,11384,,0,,3196,
Mid Scotland and Fife,Fife North East,14715,,2323,,1056,,0,,22163,
Mid Scotland and Fife,Kirkcaldy,18417,,4891,,10586,,0,,1015,
Mid Scotland and Fife,Mid Fife and Glenrothes,18115,,4500,,7881,,0,,1789,
Mid Scotland and Fife,Perthshire North,19860,,15807,,2324,,0,,1802,
Mid Scotland and Fife,Perthshire South and Kinross-shire,20126,,18178,,2943,,0,,2823,
Mid Scotland and Fife,Stirling,19882,,12987,,6556,,0,,1466,
Mid Scotland and Fife,Total,,136825,,85909,,52626,,28654,,25489
North East Scotland,Aberdeen Central,14217,,7623,,6294,,2087,,1417,
North East Scotland,Aberdeen Donside,18514,,9488,,5505,,0,,2162,
North East Scotland,Aberdeen South and North Kincardine,16500,,14829,,4505,,0,,2889,
North East Scotland,Aberdeenshire East,18307,,16418,,2900,,0,,3396,
North East Scotland,Aberdeenshire West,16319,,19709,,2382,,0,,3363,
North East Scotland,Angus North and Mearns,17144,,13635,,2686,,0,,1804,
North East Scotland,Angus South,19568,,13451,,3625,,0,,1964,
North East Scotland,Banffshire and Buchan Coast,14920,,14148,,2169,,0,,1071,
North East Scotland,Dundee City East,19230,,5630,,5893,,0,,1431,
North East Scotland,Dundee City West,19818,,3327,,6899,,0,,1269,
North East Scotland,Total,,147910,,110555,,41062,,22735,,18051
South Scotland,Ayr,18881,,18711,,4766,,0,,808,
South Scotland,"Carrick, Cumnock and Doon Valley",15240,,10903,,8604,,0,,875,
South Scotland,Clydesdale,17596,,13018,,8960,,0,,1144,
South Scotland,Dumfriesshire,15421,,19487,,4671,,0,,1314,
South Scotland,East Lothian,17968,,9470,,16789,,0,,1556,
South Scotland,"Ettrick, Roxburgh and Berwickshire",11701,,18564,,2050,,1084,,2352,
South Scotland,Galloway and West Dumfries,14851,,17486,,2932,,970,,948,
South Scotland,Kilmarnock and Irvine Valley,21418,,8295,,9737,,0,,919,
South Scotland,"Midlothian South, Tweeddale and Lauderdale",19807,,12981,,5410,,2154,,2615,
South Scotland,Total,,136741,,121730,,57236,,18964,,12422
West Scotland,Clydebank and Milngavie,17787,,4153,,12513,,0,,2987,
West Scotland,Cunninghame North,18227,,10451,,7536,,0,,967,
West Scotland,Cunninghame South,15208,,6621,,7256,,0,,715,
West Scotland,Dumbarton,16342,,3205,,17825,,0,,676,
West Scotland,Eastwood,15695,,17911,,6759,,0,,911,
West Scotland,Greenock and Inverclyde,19713,,3313,,11539,,0,,1033,
West Scotland,Paisley,17495,,3342,,11420,,1584,,1124,
West Scotland,Renfrewshire North and West,17704,,8734,,10397,,0,,933,
West Scotland,Renfrewshire South,17532,,5149,,10426,,0,,826,
West Scotland,Strathkelvin and Bearsden,21064,,9580,,8510,,0,,6675,
West Scotland,Total,,152671,,82640,,83782,,26632,,13570
